ticker,cnpj,fund_name,provider,underlying_index,segment,situacao,is_active,dt_cancel,gestor,taxa_adm,blackrock_product_id,blackrock_csv_url
BCIC11,48643170000110,B-INDEX MORNINGSTAR SETORES CICLICOS BRASIL FUNDO DE INDICE - RESPONSABILIDADE LIMITADA,B-Index (Bradesco),Morningstar Setores Cíclicos Brasil,equities_br,Em Funcionamento Normal,True,,,,,
BDAP11,51921067000108,BB ETF ÍNDICE DAP5 B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,BB Asset,Índice DAP5 B3,fixed_income_br,Em Funcionamento Normal,True,,,,,
BDEF11,48643220000160,B-INDEX MORNINGSTAR SETORES DEFENSIVOS BRASIL FUNDO DE INDICE - RESPONSABILIDADE LIMITADA,B-Index (Bradesco),Morningstar Setores Defensivos Brasil,equities_br,Em Funcionamento Normal,True,,,,,
BDOM11,45823539000189,INVESTO MARKETVECTOR BRAZIL DOMESTIC EXPOSURE ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA,Investo,MarketVector Brazil Domestic Exposure,equities_br,Em Funcionamento Normal,True,,,,,
BEST11,61950414000176,INVESTO BRAZIL BESST QUALITY FUNDO DE ÍNDICE,Investo,Brazil BESST Quality,equities_br,Em Funcionamento Normal,True,,,,,
BITH11,41256573000168,HASHDEX NASDAQ BITCOIN REFERENCE PRICE FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,Hashdex,Nasdaq Bitcoin Reference Price,crypto,Em Funcionamento Normal,True,,,,,
BITI11,38000706000126,IT NOW BLOOMBERG GALAXY BITCOIN FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,Itaú (It Now),Bloomberg Galaxy Bitcoin,crypto,Em Funcionamento Normal,True,,,,,
BIZD11,60057113000155,INVESTO MVIS®US BUSINESS DEVELOPMENT COMPANIES INDEX ETF FUNDO DE ÍNDICE,Investo,MVIS US Business Development Cos,equities_intl,Em Funcionamento Normal,True,,,,,
BLFT11,62390395000133,B-INDEX ETF TEVA LFT CURTO PRAZO FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,B-Index (Bradesco),TEVA LFT Curto Prazo,fixed_income_br,Em Funcionamento Normal,True,,,,,
BLOK11,44106937000111,INVESTO VANECK MARKETVECTOR SMART CONTRACT LEADERS ETF FUNDO DE ÍNDICE,Investo,MarketVector Smart Contract Leaders,equities_intl,Em Funcionamento Normal,True,,,,,
BMMT11,48643091000100,B- INDEX MORNINGSTAR BRASIL MOMENTO FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,B-Index (Bradesco),Morningstar Brasil Momento,equities_br,Em Funcionamento Normal,True,,,,,
BOL511,62319584000110,B-INDEX ETF IMA-B 5 P2 FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,B-Index (Bradesco),IMA-B 5 P2,fixed_income_br,Em Funcionamento Normal,True,,,,,
BOVA11,10406511000161,ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA,BlackRock (iShares),Ibovespa,equities_br,Em Funcionamento Normal,True,,,,251816,https://www.blackrock.com/br/products/251816/ishares-ibovespa-fundo-de-ndice-fund/1506433276998.ajax?fileType=csv&fileName=BOVA11_holdings&dataType=fund
BOVB11,32203211000118,FUNDO DE INVESTIMENTO DE ÍNDICE - CLASSE DE INVESTIMENTO ETF BRADESCO IBOVESPA - RESP LIMITADA,Bradesco Asset,Ibovespa,equities_br,Em Funcionamento Normal,True,,,,,
BOVS11,38350645000127,SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA,Safra Asset,Ibovespa,equities_br,Em Funcionamento Normal,True,,,,,
BOVV11,21407758000119,IT NOW IBOVESPA FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,Itaú (It Now),Ibovespa,equities_br,Em Funcionamento Normal,True,,,,,
